City,Cloudiness,Country,Date,Humidity,Lat,Lng,Max Temp,Wind Speed
beian,0,NO,1554251458,74,63.66,9.57,37,5.82
hualmay,12,PE,1554251676,82,-11.1,-77.61,70.05,3.71
saint anthony,90,US,1554251593,81,43.97,-111.68,44.6,3.6
luang prabang,40,LA,1554249600,88,19.89,102.14,69.8,2.24
rosarito,75,CO,1554249600,100,4.91,-75.23,71.6,3.36
bulgan,0,MN,1554251633,60,48.81,103.53,27.84,2.71
colombo,0,LK,1554250200,83,6.93,79.85,77,4.7
sao benedito do rio preto,80,BR,1554251677,97,-3.33,-43.53,73.65,4.72
mildura,12,AU,1554251465,29,-34.18,142.16,77,3.36
hobyo,32,SO,1554251678,86,5.35,48.53,80.04,7.74
severodvinsk,40,RU,1554249600,74,64.56,39.82,33.8,6.71
kalianget,44,ID,1554251679,100,-7.74,113.68,75.99,3.94
howard springs,0,AU,1554251490,70,-12.5,131.05,87.01,3.36
marrakesh,20,MA,1554249600,77,31.63,-7.99,59,6.93
houma,8,CN,1554251679,58,35.63,111.36,47.19,3.15
solwezi,48,ZM,1554251680,84,-12.18,26.4,64.38,7.4
wukari,0,NG,1554251680,56,7.87,9.78,78.6,3.38
tukrah,0,na,0,0,0,0,0,0
hvolsvollur,0,na,0,0,0,0,0,0
malakal,0,na,0,0,0,0,0,0
nogliki,48,RU,1554251681,96,51.8,143.14,24.69,10.42
lata,0,IN,1554251681,60,30.78,78.62,45.21,2.71
suleya,92,RU,1554251681,93,55.14,58.88,32.88,11.77
la ronge,75,CA,1554249600,48,55.1,-105.3,19.4,13.87
batagay-alyta,64,RU,1554251514,89,67.8,130.41,17.4,3.94
iwanai,68,JP,1554251682,96,42.97,140.51,35.85,8.19
mount gambier,90,AU,1554249600,82,-37.83,140.78,60.8,6.93
teguldet,0,RU,1554251683,65,57.31,88.17,27.93,9.53
antofagasta,90,CL,1554249600,59,-23.65,-70.4,66.2,4.7
tsiroanomandidy,8,MG,1554251683,91,-18.77,46.05,58.71,3.04
stephenville,1,US,1554251477,29,32.22,-98.2,70,10.29
kastamonu,24,TR,1554251684,80,41.38,33.78,23.16,2.26
karasjok,75,NO,1554249000,100,69.47,25.52,28.4,5.82
zhigansk,80,RU,1554251684,80,66.77,123.37,28.11,7.85
broome,20,GB,1554251464,95,52.47,1.45,36,3.36
makakilo city,75,US,1554251674,63,21.35,-158.09,84.2,12.75
nanyang,12,CN,1554251685,86,33,112.53,50.88,7.18
the valley,40,AI,1554251527,69,18.22,-63.06,78.8,14.99
wattegama,0,LK,1554251686,94,7.35,80.68,65.91,2.71
ocala,1,US,1554251510,63,29.19,-82.14,66.2,4.7
evensk,36,RU,1554251687,81,61.92,159.24,35.13,14.67
calvinia,12,ZA,1554251687,51,-31.47,19.78,47.73,2.93
chapais,90,CA,1554251160,84,49.78,-74.86,32,17.22
hambantota,20,LK,1554250200,100,6.12,81.12,75.2,3.36
porirua,88,NZ,1554251473,51,-41.14,174.84,62.01,18.34
san cristobal,90,EC,1554251495,87,-0.39,-78.55,57.2,2.24
vestmanna,92,FO,1554249000,74,62.16,-7.17,35.6,36.91
zlobin,68,HR,1554251660,88,45.29,14.65,48.99,9.75
bac lieu,0,na,0,0,0,0,0,0
todos santos,20,MX,1554251512,20,23.45,-110.23,86,14.99
jumla,0,NP,1554251689,90,29.28,82.18,19.92,1.7
shedok,48,RU,1554251689,82,44.22,40.85,29.64,3.94
malwan,0,na,0,0,0,0,0,0
ronne,36,FR,1554251403,93,48.45,0.83,41,5.82
viamao,0,BR,1554251610,69,-30.08,-51.02,79,6.93
bellavista,40,CO,1554249600,78,10.27,-74.82,80.6,8.05
floro,92,NO,1554251412,75,61.6,5.03,42.8,11.41
clyde river,90,CA,1554249600,91,70.47,-68.59,3.2,41.38
nabire,20,ID,1554251691,86,-3.36,135.5,76.98,0.92
ajaccio,75,FR,1554249600,87,41.93,8.74,51.8,5.82
sao joao da barra,20,BR,1554246000,83,-21.64,-41.05,73.4,9.64
popondetta,88,PG,1554251692,94,-8.77,148.24,71.94,1.25
neiafu,40,TO,1554249600,69,-18.65,-173.98,82.4,9.17
namibe,0,AO,1554251693,100,-15.19,12.15,79.68,7.52
kaeo,12,NZ,1554251584,62,-35.1,173.78,71.01,5.99
kieta,8,PG,1554251694,97,-6.22,155.63,82.29,2.26
udarnyy,0,RU,1554251694,73,54.34,42.86,27.48,8.3
rexburg,90,US,1554251107,81,43.82,-111.79,44.6,3.6
kozachi laheri,0,UA,1554251694,62,46.71,32.99,36.48,9.42
yumen,0,CN,1554251695,59,40.29,97.04,34.05,8.19
bandarbeyla,92,SO,1554251695,100,9.49,50.81,78.6,3.71
peniche,40,PT,1554251471,76,39.36,-9.38,53.6,9.17
luxor,0,EG,1554246000,36,25.7,32.65,60.8,2.71
lusambo,20,CD,1554251696,82,-4.97,23.44,76.26,2.04
axim,36,GH,1554251696,95,4.87,-2.24,84.09,7.85
lockhart,44,AU,1554249600,47,-35.22,146.72,75.2,12.75
magistralnyy,80,RU,1554251697,83,56.17,107.45,32.79,8.63
tanda,0,IN,1554251697,67,31.67,75.63,60.51,2.71
mongu,0,ZM,1554251697,49,-15.27,23.14,67.17,7.74
launceston,75,AU,1554251159,77,-41.43,147.14,61,18.34
diamantino,12,BR,1554251698,81,-14.4,-56.44,79.59,1.81
nainpur,0,IN,1554251698,68,22.43,80.11,65.55,2.48
portlethen,92,GB,1554251643,93,57.05,-2.13,39.2,23.04
sorland,80,NO,1554251698,93,67.67,12.69,41.34,20.15
isabela,0,PH,1554251699,72,10.2,122.99,78.78,3.71
norsup,48,VU,1554251699,90,-16.07,167.38,83.28,4.72
christchurch,12,NZ,1554251424,58,-43.53,172.64,60.01,4.7
aasiaat,88,GL,1554251700,76,68.71,-52.87,37.92,33.13
huanren,0,CN,1554251700,45,41.26,125.37,34.95,3.04
jiazi,20,CN,1554249600,88,19.61,110.49,77,6.71
port shepstone,92,ZA,1554251700,100,-30.74,30.45,65.82,7.74
yushan,80,CN,1554251176,82,31.68,118.49,57.99,6.71
samusu,0,na,0,0,0,0,0,0
villa bruzual,8,VE,1554251701,44,9.33,-69.12,81.57,9.64
kavaratti,0,IN,1554251702,100,10.57,72.64,84.09,9.75
tongren,100,CN,1554251702,98,27.72,109.18,48.99,8.97
trairi,92,BR,1554251702,100,-3.28,-39.27,80.85,9.53
chany,56,RU,1554251702,78,55.31,76.76,21.63,2.71
ocean city,1,US,1554251467,59,30.44,-86.61,66.2,5.82
itacoatiara,0,BR,1554251419,73,-3.14,-58.44,83.55,3.27
yendi,0,GH,1554251703,68,9.45,0,80.67,12.66
tabiauea,0,na,0,0,0,0,0,0
wanning,20,AT,1554251700,57,48.64,13.53,52,9.17
patrocinio,24,PH,1554251704,82,13.72,123.64,80.04,6.17
inuvik,40,CA,1554249600,65,68.36,-133.71,5,8.05
camacha,40,PT,1554249600,72,33.08,-16.33,60.8,19.46
ambala,0,IN,1554251705,56,30.38,76.77,63.66,3.71
timon,0,BR,1554246000,66,-5.1,-42.84,89.6,3.36
sorvag,0,na,0,0,0,0,0,0
elk city,1,US,1554251169,28,35.41,-99.4,69.8,14.99
longyan,36,CN,1554251706,87,25.1,117.03,58.08,2.59
gobindpur,0,IN,1554251706,86,23.81,86.6,59.16,2.82
mpika,32,ZM,1554251706,88,-11.84,31.4,63.84,8.97
vreed en hoop,0,na,0,0,0,0,0,0
liverpool,75,GB,1554251592,86,53.41,-2.98,39.99,11.41
la palma,56,CO,1554251707,92,5.36,-74.39,69.33,1.36
padang,20,ID,1554249600,94,-0.92,100.36,75.2,3.36
mehran,0,IR,1554249600,86,33.12,46.17,39.2,4.7
coihaique,40,CL,1554249600,50,-45.58,-72.07,55.4,8.05
sembe,0,na,0,0,0,0,0,0
nemuro,40,JP,1554249600,100,43.32,145.57,32,5.82
santa rosa,0,AR,1554251457,38,-36.62,-64.29,65.55,8.41
beausejour,40,CA,1554251705,58,50.06,-96.51,28.99,18.34
rio grande,0,BR,1554251574,71,-32.03,-52.1,74.82,8.52
altzayanca,0,na,0,0,0,0,0,0
bairiki,0,na,0,0,0,0,0,0
saint-louis,92,CH,1554251703,71,47.59,7.56,54,2.24
muisne,0,EC,1554246000,83,0.61,-80.02,80.6,8.05
san benedetto del tronto,100,IT,1554251696,89,42.95,13.88,59,3.38
takoradi,24,GH,1554251714,99,4.89,-1.75,82.56,4.38
kasongo-lunda,56,CD,1554251714,90,-6.48,16.82,71.94,2.93
tigil,44,RU,1554251715,91,57.8,158.67,36.48,13.89
shingu,20,JP,1554249600,45,33.72,135.99,46.4,8.05
marsh harbour,0,BS,1554251715,94,26.54,-77.06,78.06,11.21
beira,92,ES,1554251705,76,43.2,-8.36,50,6.93
gondar,40,PT,1554251716,75,41.82,-8.78,57,8.05
vitim,24,RU,1554251716,68,59.44,112.57,27.93,6.73
nara,20,JP,1554251404,49,34.68,135.8,48.2,6.93
karratha,0,AU,1554251717,76,-20.74,116.85,78.78,4.72
ovalle,0,CL,1554251717,94,-30.6,-71.2,60.33,2.93
wajima,75,JP,1554249600,55,37.4,136.9,39.2,6.93
katsuura,40,JP,1554251654,61,33.93,134.5,48.2,6.93
cayenne,90,GF,1554249600,83,4.94,-52.33,77,6.93
charters towers,20,AU,1554251718,80,-20.07,146.27,75.36,11.65
langsa,8,ID,1554251719,92,4.47,97.97,69.6,2.15
oudtshoorn,0,ZA,1554249600,93,-33.59,22.2,53.6,2.24
shahr-e kord,0,IR,1554251719,52,32.33,50.85,24.96,0.58
safranbolu,76,TR,1554251719,90,41.25,32.69,36.39,1.92
dinguiraye,80,GN,1554251720,95,11.29,-10.71,70.41,3.27
springdale,1,US,1554251704,36,36.19,-94.13,63,8.05
carballo,92,ES,1554251705,76,43.21,-8.69,50,6.93
la rioja,0,AR,1554251721,78,-29.41,-66.86,74.19,1.36
vostok,76,RU,1554251721,55,46.45,135.83,30.81,2.93
revelstoke,1,CA,1554249600,25,50.99,-118.19,60.8,5.82
weligama,0,LK,1554251722,99,5.97,80.42,77.34,1.7
prince rupert,1,CA,1554249600,54,54.32,-130.32,57.2,5.82
zwedru,80,LR,1554251722,97,6.07,-8.13,72.3,2.93
pangnirtung,80,CA,1554251722,84,66.15,-65.72,4.26,7.18
port hedland,90,AU,1554250380,100,-20.31,118.58,77,8.05
villanueva de la serena,0,ES,1554251524,85,38.97,-5.8,52,3
tungkang,0,na,0,0,0,0,0,0
uvalde,1,US,1554251553,42,29.21,-99.79,71.6,8.05
hailey,90,US,1554251414,93,43.52,-114.32,37.4,2.48
praia da vitoria,75,PT,1554251544,93,38.73,-27.07,55.99,18.03
atbasar,92,KZ,1554251724,85,51.81,68.36,40.35,11.65
